response_id,research_id,respondent_id,object,original_response,cleaned_response,translated_response,combined_response,final_response,originality_rater02,utility_rater02
23651,CES201911,1989,brick,een,,a minus seems good,use brick as a minus seems good,use brick as a minus seems good,0,0
25670,CES201911,2093,brick,door,,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,use brick as aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,use brick as aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,0
25778,CES201911,2099,brick,54,,indicate,use brick as indicate,use brick to indicate,0,0
29204,CES201911,2255,brick,???,,touch,use brick as touch,use brick to touch,0,0
30292,CES201911,2303,brick,maken,,abortion instrument,use brick as abortion instrument,use brick as abortion instrument,0,0
31408.5,CES201911,2342,brick, gebruiken als ,,action figure,use brick as action figure,use brick as action figure,0,0
23579,CES201911,1964,brick,2 a 4 min lijkt me ook goed.,a min lijkt goed,demarcation,use brick as demarcation,use brick as demarcation,0,0
29295,CES201911,2258,brick,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,break down,use brick as break down,use brick as break down,0,0
24412,CES201911,2034,brick,aangeven,aangeven,hacker,use brick as hacker,use brick as hacker,2,5
24184,CES201911,2020,brick,aanraken,aanraken,shielding,use brick as shielding,use brick as shielding,2,5
27838,CES201911,2177,brick,abortus instrument,abortus instrument,scare,use brick as scare,use brick as scare,2,3
32302,CES201911,2370,brick,actionfigure,actionfigure,barrier block,use brick as barrier block,use brick as barrier block,4,3
27709,CES201911,2171,brick,afbakening,afbakening,altar,use brick as altar,use brick as altar,1,4
24191,CES201911,2020,brick,afbreken,afbreken,alternative key door,use brick as alternative key door,use brick as alternative key door,1,3
31628,CES201911,2349,brick,afhakker,afhakker,Amsterdam,use brick as Amsterdam,use brick as Amsterdam,3,4
31108,CES201911,2332,brick,afscherming,afscherming,build different,use brick as build different,use brick as build different,1,4
30027,CES201911,2293,brick,iets afschrikken,afschrikken,other build wall,use brick as other build wall,use brick as other build wall,3,3
28055.4,CES201911,2191,brick, afzetblok,afzetblok,anchor,use brick as anchor,use brick to anchor,2,4
31489,CES201911,2345,brick,als altaar,altaar,anchor,use brick as anchor,use brick to anchor,4,5
28446,CES201911,2213,brick,alternatieve sleutel voor een deur,alternatieve sleutel deur,anchor,use brick as anchor,use brick to anchor,4,2
30522,CES201911,2313,brick,amsterdam,amsterdam,anchor small boat,use brick as anchor small boat,use brick to anchor small boat,0,0
28406,CES201911,2210,brick,iets anders bouwen,anders bouwen,archaeological object,use brick as archaeological object,use brick as archaeological object,1,5
31779,CES201911,2355,brick,iets anders dan een muurtje mee bouwen,anders muurtje bouwen,architecture,use brick as architecture,use brick as architecture,1,5
30401,CES201911,2305,brick,als anker gebruiken,anker,asfsdg,use brick as asfsdg,use brick as asfsdg,4,2
31079,CES201911,2329,brick,als anker gebruiken,anker,smashing car window,use brick as smashing car window,use brick as smashing car window,4,2
31625,CES201911,2349,brick,anker,anker,bath plug,use brick as bath plug,use brick as bath plug,4,2
26626,CES201911,2132,brick,als anker voor een klein bootje,anker klein bootje,bin,use brick as bin,use brick as bin,4,2
29339,CES201911,2259,brick,archeologisch opbject,archeologisch object,bin,use brick as bin,use brick as bin,3,4
30524,CES201911,2313,brick,architecture,architecture,baking,use brick as baking,use brick as baking,1,4
26627,CES201911,2133,brick,asfsdg,asfsdg,mash things up in bowl,use brick as mash things up in bowl,use brick as mash things up in bowl,0,0
27770,CES201911,2174,brick,auto ruit inslaan,auto ruit inslaan,baking,use brick as baking,use brick as baking,2,5
28399,CES201911,2209,brick,badstop,badstop,baking,use brick as baking,use brick as baking,3,4
23644,CES201911,1989,brick,bak,bak,baking,use brick as baking,use brick as baking,4,3
23656,CES201911,1989,brick,bak,bak,baking,use brick as baking,use brick as baking,4,3
25652,CES201911,2093,brick,baking,baking,baking,use brick as baking,use brick as baking,4,3
27659,CES201911,2168,brick,bakje van maken om dingen in fijn te stampen,bakje dingen fijn stampen,baking,use brick as baking,use brick as baking,3,3
23809,CES201911,2001,brick,bakken,bakken,brick,use brick as brick,use brick as brick,3,2
28662,CES201911,2224,brick,bakken,bakken,brick,use brick as brick,use brick as brick,3,2
29290,CES201911,2258,brick,Bakken,bakken,brick,use brick as brick,use brick as brick,3,2
30200,CES201911,2299,brick,bakken,bakken,brick,use brick as brick,use brick as brick,3,2
30972,CES201911,2325,brick,bakken,bakken,brick,use brick as brick,use brick as brick,3,2
23641,CES201911,1989,brick,baksel,baksel,brick,use brick as brick,use brick as brick,4,1
23574,CES201911,1964,brick,baksteen,baksteen,brick,use brick as brick,use brick as brick,1,2
23593,CES201911,1967,brick,baksteen 1,baksteen,brick,use brick as brick,use brick as brick,1,2
23594,CES201911,1967,brick,baksteen 2,baksteen,brick,use brick as brick,use brick as brick,1,2
23595,CES201911,1967,brick,baksteen 3,baksteen,brick throw workout,use brick as brick throw workout,use brick as brick throw workout,1,2
23599,CES201911,1968,brick,baksteen 1,baksteen,brick paint,use brick as brick paint,use brick as brick paint,1,2
23600,CES201911,1968,brick,baksteen 2,baksteen,brick paint,use brick as brick paint,use brick as brick paint,1,2
25650,CES201911,2093,brick,baksteen,baksteen,crush brick,use brick as crush brick,use brick as crush brick,1,2
28278,CES201911,2204,brick,baksteen,baksteen,brick center do,use brick as brick center do,use brick as brick center do,1,2
30102,CES201911,2295,brick,een baksteen,baksteen,bake,use brick as bake,use brick to bake,1,2
31728,CES201911,2353,brick,baksteen gooien als workout,baksteen gooien workout,baked,use brick as baked,use brick as baked,4,5
23820,CES201911,2002,brick,baksteen schildren,baksteen schilderen,ball,use brick as ball,use brick as ball,3,4
28833,CES201911,2236,brick,op baksteen schilderen ,baksteen schilderen,ball,use brick as ball,use brick as ball,3,4
